track_id,attributeA,attributeB,attributeC
0,A1,B5,C4
1,A1,B1,C3
2,A3,B2,C1
3,A1,B4,C4
4,A5,B3,C2
5,A1,B5,C4
6,A2,B1,C2
7,A2,B5,C2
8,A5,B5,C5
9,A4,B3,C2
10,A5,B2,C1
11,A1,B5,C2
12,A1,B1,C3
13,A5,B2,C1
14,A3,B2,C2
15,A3,B2,C4
16,A2,B1,C3
17,A2,B4,C4
18,A3,B1,C5
19,A3,B3,C4
20,A3,B5,C4
21,A1,B5,C1
22,A4,B3,C3
23,A5,B5,C4
24,A1,B4,C2
25,A1,B5,C3
26,A3,B1,C5
27,A4,B4,C5
28,A4,B2,C3
29,A1,B1,C3
30,A1,B2,C5
31,A1,B1,C3
32,A3,B2,C4
33,A5,B3,C5
34,A5,B1,C1
35,A5,B2,C1
36,A4,B2,C5
37,A1,B1,C2
38,A3,B4,C1
39,A4,B5,C2
40,A5,B4,C3
41,A2,B1,C5
42,A5,B2,C2
43,A1,B5,C5
44,A2,B1,C5
45,A4,B4,C4
46,A1,B5,C1
47,A1,B1,C1
48,A2,B2,C5
49,A4,B3,C2
50,A2,B2,C4
51,A5,B3,C4
52,A4,B5,C1
53,A5,B2,C2
54,A2,B5,C5
55,A4,B1,C1
56,A4,B2,C3
57,A3,B4,C1
58,A4,B5,C5
59,A4,B2,C4
60,A4,B1,C4
61,A1,B5,C1
62,A5,B2,C1
63,A5,B1,C1
64,A2,B2,C4
65,A4,B4,C1
66,A3,B5,C1
67,A2,B2,C5
68,A5,B3,C5
69,A3,B1,C1
70,A2,B3,C2
71,A5,B3,C4
72,A5,B2,C1
73,A5,B3,C4
74,A5,B4,C5
75,A2,B5,C2
76,A5,B5,C2
77,A3,B4,C4
78,A3,B1,C4
79,A1,B3,C4
80,A1,B5,C5
81,A3,B3,C3
82,A4,B4,C1
83,A4,B4,C1
84,A1,B3,C4
85,A2,B2,C3
86,A5,B4,C5
87,A5,B2,C3
88,A1,B1,C3
89,A4,B3,C5
90,A3,B3,C4
91,A2,B1,C1
92,A5,B4,C5
93,A3,B3,C2
94,A5,B3,C3
95,A2,B1,C3
96,A1,B5,C1
97,A1,B2,C5
98,A5,B1,C3
99,A1,B4,C3
100,A4,B4,C2
101,A3,B4,C5
102,A3,B1,C3
103,A4,B2,C2
104,A4,B2,C4
105,A5,B2,C1
106,A3,B3,C2
107,A4,B2,C4
108,A4,B5,C5
109,A4,B4,C2
110,A1,B5,C1
111,A5,B3,C5
112,A4,B5,C4
113,A1,B3,C1
114,A3,B4,C2
115,A1,B2,C4
116,A4,B5,C2
117,A4,B1,C4
118,A2,B2,C1
119,A3,B4,C1
120,A1,B5,C4
121,A3,B4,C3
122,A1,B4,C2
123,A1,B4,C1
124,A5,B2,C1
125,A1,B3,C3
126,A3,B3,C4
127,A3,B2,C2
128,A4,B2,C1
129,A1,B5,C5
130,A3,B3,C4
131,A3,B4,C1
132,A1,B4,C2
133,A2,B1,C1
134,A5,B3,C5
135,A5,B2,C5
136,A2,B2,C2
137,A3,B4,C2
138,A3,B4,C5
139,A2,B5,C5
140,A4,B5,C3
141,A3,B5,C4
142,A1,B2,C2
143,A1,B1,C5
144,A3,B5,C4
145,A3,B3,C2
146,A5,B4,C4
147,A2,B5,C1
148,A1,B3,C3
149,A1,B5,C5
150,A3,B4,C2
151,A3,B4,C3
152,A4,B4,C1
153,A2,B4,C5
154,A5,B3,C4
155,A5,B2,C3
156,A5,B3,C1
157,A3,B4,C2
158,A4,B2,C5
159,A2,B1,C4
160,A1,B3,C1
161,A4,B5,C4
162,A1,B3,C3
163,A4,B1,C4
164,A2,B1,C2
165,A5,B3,C2
166,A3,B4,C4
167,A4,B4,C2
168,A5,B2,C3
169,A3,B5,C2
170,A3,B4,C1
171,A3,B3,C2
172,A3,B5,C2
173,A4,B1,C4
174,A2,B1,C5
175,A1,B5,C2
176,A2,B1,C1
177,A1,B5,C1
178,A1,B1,C4
179,A4,B3,C4
180,A4,B3,C3
181,A4,B3,C4
182,A5,B5,C1
183,A2,B4,C5
184,A3,B2,C5
185,A2,B4,C2
186,A1,B5,C5
187,A5,B2,C5
188,A5,B2,C3
189,A2,B3,C1
190,A2,B1,C3
191,A1,B5,C4
192,A1,B2,C1
193,A4,B2,C5
194,A4,B2,C5
195,A4,B3,C5
196,A1,B2,C2
197,A3,B4,C3
198,A2,B5,C4
199,A2,B3,C3
200,A2,B3,C2
201,A5,B1,C1
202,A1,B5,C1
203,A1,B4,C4
204,A3,B2,C2
205,A2,B5,C1
206,A3,B1,C3
207,A1,B1,C1
208,A3,B2,C4
209,A3,B3,C5
210,A5,B5,C5
211,A1,B1,C3
212,A4,B3,C5
213,A3,B4,C5
214,A3,B3,C4
215,A4,B3,C1
216,A2,B3,C5
217,A5,B5,C4
218,A2,B5,C2
219,A4,B5,C3
220,A5,B5,C2
221,A3,B5,C1
222,A3,B1,C1
223,A4,B3,C5
224,A4,B1,C4
225,A4,B4,C5
226,A4,B5,C3
227,A5,B1,C5
228,A5,B5,C5
229,A3,B1,C5
230,A4,B3,C2
231,A4,B2,C3
232,A4,B1,C5
233,A2,B2,C3
234,A5,B2,C2
235,A4,B5,C2
236,A5,B4,C3
237,A3,B2,C4
238,A5,B1,C4
239,A4,B5,C2
240,A3,B4,C3
241,A4,B1,C5
242,A4,B3,C1
243,A4,B1,C1
244,A1,B5,C1
245,A1,B2,C1
246,A5,B5,C2
247,A1,B4,C4
248,A4,B2,C1
249,A4,B2,C1
250,A5,B3,C2
251,A3,B5,C5
252,A5,B4,C4
253,A1,B4,C4
254,A1,B2,C5
255,A2,B4,C1
256,A3,B2,C4
257,A4,B1,C4
258,A4,B2,C5
259,A3,B4,C2
260,A1,B1,C3
261,A5,B2,C4
262,A3,B1,C3
263,A4,B2,C2
264,A5,B5,C5
265,A2,B4,C1
266,A3,B3,C4
267,A4,B3,C5
268,A1,B4,C4
269,A3,B3,C3
270,A1,B3,C5
271,A2,B3,C4
272,A3,B4,C3
273,A2,B2,C4
274,A5,B2,C3
275,A3,B2,C3
276,A2,B2,C3
277,A3,B1,C4
278,A4,B3,C1
279,A3,B2,C1
280,A5,B1,C5
281,A5,B2,C2
282,A5,B1,C4
283,A4,B4,C5
284,A1,B1,C4
285,A5,B4,C2
286,A4,B1,C1
287,A1,B3,C5
288,A5,B1,C3
289,A5,B3,C1
290,A5,B2,C4
291,A3,B4,C1
292,A5,B3,C4
